delta_s,run_time_target,run_time_used,energy_Wh,feasible,note
0,2904.0,2904.5,367015.2003352076,True,baseline
1,2903.0,2903.5,367391.58522154705,True,ok
2,2902.0,2902.5,367772.5254510476,True,ok
3,2901.0,2901.5,368154.6502924737,True,ok
4,2900.0,2900.5,368545.0079534891,True,ok
5,2899.0,2899.5,368932.5497118158,True,ok
