Segment_ID,等级,时长
0,class2,88.25
1,class2,87.85
2,class2,87.5
3,class2,87.85
4,class2,87.55
5,class2,88.45
6,class2,87.75
7,class2,87.55
8,class2,87.8
9,class2,89.0
10,class2,87.6
11,class2,89.0
12,class2,87.7
13,class2,88.6
14,class1,84.3
15,class2,87.95
16,class2,88.05
17,class2,87.85
18,class2,88.0
19,class2,88.05
20,class2,87.75
21,class2,88.65
22,class2,87.55
23,class2,87.3
24,class2,87.7
25,class2,87.55
26,class2,88.25
27,class2,87.6
28,class2,88.6
29,class2,88.2
30,class2,88.5
31,class2,87.6
32,class2,87.8
33,class2,88.0
34,class1,84.15
