站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,114.3,114.3,30.0,144.3,1451.23,1428.0,45.71,68.43,45.69,2287,67.35,1000,68.16,68.34,13294.63,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,152.65,152.65,30.0,182.65,2054.16,2017.0,48.44,64.1,48.43,3054,62.97,1821,63.95,64.05,17007.32,215.34,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,106.05,106.05,30.0,136.05,1353.31,1332.0,45.94,78.66,45.92,2122,77.38,632,77.88,78.55,16288.04,215.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,81.1,81.1,30.0,111.1,840.36,827.0,37.3,75.46,37.28,1623,73.51,170,74.28,75.39,12657.92,215.64,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,130.05,130.05,30.0,160.05,1890.77,1860.0,52.34,78.3,52.32,2602,77.38,1136,78.09,78.2,21094.7,215.64,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,94.0,94.0,30.0,124.0,1104.61,1086.0,42.3,78.78,42.28,1881,74.98,408,75.89,78.65,14940.8,215.74,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,90.85,90.85,30.0,120.85,999.28,984.0,39.6,69.18,39.58,1818,67.32,509,67.58,69.03,10366.06,215.74,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,129.9,129.9,30.0,159.9,1840.07,1811.0,51.0,75.18,50.98,2599,74.1,1200,74.64,75.0,18415.98,216.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,98.0,98.0,30.0,128.0,1187.69,1155.0,43.63,77.53,43.61,1961,75.01,497,75.57,77.16,15335.07,216.84,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,116,115,07/2973015,73015,5012,UP,工作日平峰,0.0,112.3,112.3,30.0,142.3,1474.15,1452.0,47.26,76.96,47.24,2247,74.95,771,75.62,76.46,19146.17,216.84,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
