Segment_ID,等级,时长
0,class3,315.85
1,class4,327.0
2,class4,327.8
3,class4,327.95
4,class3,315.85
5,class3,315.05
6,class4,328.0
7,class3,314.85
8,class3,315.55
9,class4,327.55
10,class4,326.85
11,class4,327.65
12,class3,315.65
13,class4,326.9
14,class4,323.4
15,class3,315.0
16,class3,315.6
17,class4,327.7
18,class4,327.85
19,class4,327.65
20,class3,316.65
21,class4,326.0
22,class4,327.7
23,class4,326.8
24,class3,314.95
25,class4,327.0
26,class4,325.35
27,class4,328.75
28,class4,328.7
29,class4,327.7
30,class4,327.7
31,class4,328.45
32,class4,327.65
33,class4,327.65
34,class5,337.65
