run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850706|50706|5012|UP,86.25,996.1666,216.14,1726
07/0850708|50708|5012|UP,87.8,995.5616,216.22,1757
07/0850710|50710|5012|UP,89.05,995.6316,215.84,1782
07/0951906|51906|5012|UP,88.05,996.0575,216.24,1762
07/0951908|51908|5012|UP,89.65,995.3944,216.44,1794
07/0951910|51910|5012|UP,87.05,996.0036,215.64,1742
07/0951914|51914|5012|UP,88.05,996.224,216.64,1762
07/1053004|53004|5012|UP,86.85,996.3054,215.64,1738
07/1251002|51002|5012|UP,88.1,995.3306,217.12,1763
07/1251006|51006|5012|UP,87.8,996.2496,216.14,1757
07/1251008|51008|5012|UP,88.0,995.4297,216.82,1761
07/1251014|51014|5012|UP,88.0,995.9169,216.04,1761
07/1251510|51510|5012|UP,89.0,995.4158,216.04,1781
