send_order,section,selected_class,planned_time_s,speed_method,speed_base_kmh,cruise_avg_speed_kmh,cruise_point_count,curve_peak_speed_kmh,peak_speed_kmh,speed_margin_kmh,speed_limit_kmh,opentrack_speed_unit,opentrack_speed_value,curve_path,curve_source,sample_reliability,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
11,下应路-大洋江,class3,106.0,cruise-avg,61.935253,61.935253,811,62.671724,62.6717,0,61.935253,kmh,61.935253,D:\energy_conservation\output\ato_generated_results_new_v4\下应路-大洋江\class3_generated_curve.csv,real,strong,single-route,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""61.935253"" startRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" startRouteOffset=""0"" endRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" endRouteOffset=""999999""/>",
12,大洋江-泗港,class3,92.0,cruise-avg,59.319844,59.319844,555,60.955164,60.955,0,59.319844,kmh,59.319844,D:\energy_conservation\output\ato_generated_results_new_v4\大洋江-泗港\class3_generated_curve.csv,real,strong,single-route,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""59.319844"" startRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" startRouteOffset=""0"" endRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" endRouteOffset=""999999""/>",
13,泗港-曹隘,class4,137.0,cruise-avg,73.763314,73.763314,834,75.53156,75.5316,0,73.763314,kmh,73.763314,D:\energy_conservation\output\ato_generated_results_new_v4\泗港-曹隘\class4_generated_curve.csv,real,strong,single-route,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""73.763314"" startRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" startRouteOffset=""0"" endRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" endRouteOffset=""999999""/>",
14,曹隘-柳隘,class4,113.0,cruise-avg,60.64473,60.64473,855,61.631497,61.633,0,60.64473,kmh,60.64473,D:\energy_conservation\output\ato_generated_results_new_v4\曹隘-柳隘\class4_generated_curve.csv,real,weak,single-route,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""60.64473"" startRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" startRouteOffset=""0"" endRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" endRouteOffset=""999999""/>",
15,柳隘-海晏北路,class3,92.0,cruise-avg,64.027127,64.027127,519,64.810751,64.8124,0,64.027127,kmh,64.027127,D:\energy_conservation\output\ato_generated_results_new_v4\柳隘-海晏北路\class3_generated_curve.csv,real,strong,single-route,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""64.027127"" startRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" startRouteOffset=""0"" endRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" endRouteOffset=""999999""/>",
16,海晏北路-民安东路,class3,85.0,cruise-avg,67.405606,67.405606,217,67.860534,67.8617,0,67.405606,kmh,67.405606,D:\energy_conservation\output\ato_generated_results_new_v4\海晏北路-民安东路\class3_generated_curve.csv,real,strong,single-route,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""67.405606"" startRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" startRouteOffset=""0"" endRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" endRouteOffset=""999999""/>",
17,民安东路-会展中心,class3,79.0,cruise-avg,59.648332,59.648332,199,60.280919,60.2777,0,59.648332,kmh,59.648332,D:\energy_conservation\output\ato_generated_results_new_v4\民安东路-会展中心\class3_generated_curve.csv,real,strong,single-route,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""59.648332"" startRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" startRouteOffset=""0"" endRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" endRouteOffset=""999999""/>",
18,会展中心-院士路,class3,115.0,cruise-avg,76.853676,76.853676,725,77.63171,77.6321,0,76.853676,kmh,76.853676,D:\energy_conservation\output\ato_generated_results_new_v4\会展中心-院士路\class3_generated_curve.csv,real,strong,single-route,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""76.853676"" startRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" startRouteOffset=""0"" endRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" endRouteOffset=""999999""/>",
19,院士路-盎孟港,class3,91.0,cruise-avg,71.609949,71.609949,213,72.212506,72.2139,0,71.609949,kmh,71.609949,D:\energy_conservation\output\ato_generated_results_new_v4\院士路-盎孟港\class3_generated_curve.csv,real,strong,single-route,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""71.609949"" startRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" startRouteOffset=""0"" endRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" endRouteOffset=""999999""/>",
20,盎孟港-三官堂,class2,132.0,cruise-avg,74.406366,74.406366,1074,76.316656,76.317,0,74.406366,kmh,74.406366,D:\energy_conservation\output\ato_generated_results_new_v4\盎孟港-三官堂\class2_generated_curve.csv,real,strong,single-route,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""74.406366"" startRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" startRouteOffset=""0"" endRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" endRouteOffset=""999999""/>",
21,三官堂-兴庄路,class2,99.0,cruise-avg,60.511989,60.511989,632,61.752787,61.7533,0,60.511989,kmh,60.511989,D:\energy_conservation\output\ato_generated_results_new_v4\三官堂-兴庄路\class2_generated_curve.csv,real,strong,single-route,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""60.511989"" startRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" startRouteOffset=""0"" endRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" endRouteOffset=""999999""/>",
22,兴庄路-兴海南路,class2,87.0,cruise-avg,79.728029,79.728029,170,79.843224,79.8469,0,79.728029,kmh,79.728029,D:\energy_conservation\output\ato_generated_results_new_v4\兴庄路-兴海南路\class2_generated_curve.csv,real,strong,single-route,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""79.728029"" startRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" startRouteOffset=""0"" endRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" endRouteOffset=""999999""/>",
23,兴海南路-梅堰,class3,82.0,cruise-avg,69.380896,69.380896,167,69.832265,69.8334,0,69.380896,kmh,69.380896,D:\energy_conservation\output\ato_generated_results_new_v4\兴海南路-梅堰\class3_generated_curve.csv,real,strong,single-route,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""69.380896"" startRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" startRouteOffset=""0"" endRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" endRouteOffset=""999999""/>",
24,梅堰-永茂路,class3,313.0,cruise-avg,66.40269,66.40269,1489,67.307558,67.3094,0,66.40269,kmh,66.40269,D:\energy_conservation\output\ato_generated_results_new_v4\梅堰-永茂路\class3_generated_curve.csv,real,strong,single-route,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],0,editSpeed-1988-R:STA_24_[1988]-STA_25_[2180],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""66.40269"" startRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" startRouteOffset=""0"" endRouteID=""editSpeed-1988-R:STA_24_[1988]-STA_25_[2180]"" endRouteOffset=""999999""/>",
25,永茂路-镇海大道,class5,164.1,cruise-avg,59.234076,59.234076,2038,61.019565,61.0206,0,59.234076,kmh,59.234076,D:\energy_conservation\output\ato_generated_results_new_v4\永茂路-镇海大道\class5_generated_curve.csv,extrapolated_adjacent,generated,single-route,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],0,editSpeed-2180-R:STA_25_[2180]-STA_26_[2281],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""59.234076"" startRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" startRouteOffset=""0"" endRouteID=""editSpeed-2180-R:STA_25_[2180]-STA_26_[2281]"" endRouteOffset=""999999""/>",
26,镇海大道-骆驼桥,class2,116.0,cruise-avg,79.356095,79.356095,721,79.692183,79.6939,0,79.356095,kmh,79.356095,D:\energy_conservation\output\ato_generated_results_new_v4\镇海大道-骆驼桥\class2_generated_curve.csv,real,strong,single-route,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],0,editSpeed-2281-R:STA_26_[2281]-STA_27_[2343],999999,priority_dp_trip035,"<setPositionSpeed trainID=""priority_dp_trip035"" speed=""79.356095"" startRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" startRouteOffset=""0"" endRouteID=""editSpeed-2281-R:STA_26_[2281]-STA_27_[2343]"" endRouteOffset=""999999""/>",end_offset_defaulted
