站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,28.55,30.0,-1.45,116.8,12947.95,14554.71,14340.25,历史原始实测能耗,1606.76,real,class3,class3,80,80,strong,real_only,215.24,UP066_20240715_171505_R3551,65.0,3551.0
张家潭-同德路,class2,148.0,27.6,29.0,-1.4,150.8,17497.75,17999.97,17524.3,历史原始实测能耗,502.22,real,class2,class2,8,8,strong,real_only,215.34,UP066_20240715_171505_R3551,65.0,3552.0
同德路-石碶,class3,109.0,32.36,34.0,-1.64,105.8,12898.41,15225.64,14811.46,历史原始实测能耗,2327.23,real,class3,class3,60,60,strong,real_only,215.34,UP066_20240715_171505_R3551,65.0,3553.0
石碶-雅渡,class2,80.0,28.56,30.0,-1.44,79.0,11115.24,12056.34,11668.35,历史原始实测能耗,941.1,real,class2,class2,38,38,strong,real_only,215.74,UP066_20240715_171505_R3551,65.0,3554.0
雅渡-庙堰,class2,129.0,28.56,30.0,-1.44,132.3,20736.45,21612.44,20808.0,历史原始实测能耗,875.99,real,class2,class2,32,32,strong,real_only,216.34,UP066_20240715_171505_R3551,65.0,3555.0
庙堰-钟公庙,class3,96.0,28.56,30.0,-1.44,94.75,12716.83,16264.52,16023.3,历史原始实测能耗,3547.69,real,class3,class3,84,84,strong,real_only,216.44,UP066_20240715_171505_R3551,65.0,3556.0
钟公庙-鄞州区政府,class4,95.0,39.03,41.0,-1.97,88.9,7799.1,13630.7,13252.32,历史原始实测能耗,5831.6,real,class4,class4,1,1,weak,real_only,217.42,UP066_20240715_171505_R3551,65.0,3557.0
鄞州区政府-钱湖南路,class3,132.1,27.6,29.0,-1.4,127.3,16589.78,19037.27,18529.76,历史原始实测能耗,2447.49,real,class3,class3,62,62,strong,real_only,219.32,UP066_20240715_171505_R3551,65.0,3558.0
钱湖南路-南高教园区,class3,100.0,33.32,35.0,-1.68,97.55,14331.74,16095.63,16363.73,历史原始实测能耗,1763.89,real,class3,class3,63,63,strong,real_only,219.4,UP066_20240715_171505_R3551,65.0,3559.0
南高教园区-下应路,class3,114.0,27.6,29.0,-1.4,110.9,19474.62,21342.57,21654.48,历史原始实测能耗,1867.95,real,class3,class3,63,63,strong,real_only,219.5,UP066_20240715_171505_R3551,65.0,3560.0
下应路-大洋江,class3,106.0,27.6,29.0,-1.4,103.05,11480.71,14847.32,14230.67,历史原始实测能耗,3366.61,real,class3,class3,65,65,strong,real_only,219.32,UP066_20240715_171505_R3551,65.0,3561.0
大洋江-泗港,class3,92.0,28.56,30.0,-1.44,88.75,10908.06,14397.98,14080.72,历史原始实测能耗,3489.92,real,class3,class3,99,99,strong,real_only,221.1,UP066_20240715_171505_R3551,65.0,3562.0
泗港-曹隘,class4,137.0,28.56,30.0,-1.44,128.9,25257.64,21362.98,21053.36,历史原始实测能耗,-3894.66,real,class4,class4,82,82,strong,real_only,223.6,UP066_20240715_171505_R3551,65.0,3563.0
曹隘-柳隘,class4,113.0,27.6,29.0,-1.4,107.05,12762.9,21552.62,17546.34,历史原始实测能耗,8789.72,real,class4,class4,1,1,weak,real_only,223.5,UP066_20240715_171505_R3551,65.0,3564.0
柳隘-海晏北路,class3,92.0,42.83,45.0,-2.17,89.15,12005.28,14952.35,15000.26,历史原始实测能耗,2947.07,real,class3,class3,35,35,strong,real_only,224.4,UP066_20240715_171505_R3551,65.0,3565.0
海晏北路-民安东路,class3,85.0,28.56,30.0,-1.44,83.6,15048.56,16137.26,15089.35,历史原始实测能耗,1088.7,real,class3,class3,41,41,strong,real_only,226.7,UP066_20240715_171505_R3551,65.0,3566.0
民安东路-会展中心,class3,79.0,29.51,31.0,-1.49,77.25,12733.98,13055.5,12934.09,历史原始实测能耗,321.52,real,class3,class3,8,8,strong,real_only,230.6,UP066_20240715_171505_R3551,64.0,3567.0
会展中心-院士路,class3,115.0,28.56,30.0,-1.44,114.95,15260.13,15730.26,14969.9,历史原始实测能耗,470.13,real,class3,class3,104,104,strong,real_only,231.2,UP066_20240715_171505_R3551,64.0,3568.0
院士路-盎孟港,class3,91.0,28.56,30.0,-1.44,90.65,18091.94,20258.2,19410.93,历史原始实测能耗,2166.26,real,class3,class3,99,99,strong,real_only,230.0,UP066_20240715_171505_R3551,64.0,3569.0
盎孟港-三官堂,class2,132.0,27.6,29.0,-1.4,131.35,19107.61,19031.46,19057.58,历史原始实测能耗,-76.15,real,class2,class2,52,52,strong,real_only,229.4,UP066_20240715_171505_R3551,64.0,3570.0
三官堂-兴庄路,class3,104.0,29.51,31.0,-1.49,98.8,11955.44,12505.96,13393.8,历史原始实测能耗,550.52,real,class3,class3,58,58,strong,real_only,223.91,UP066_20240715_171505_R3551,64.0,3571.0
兴庄路-兴海南路,class2,87.0,26.65,28.0,-1.35,89.0,17228.14,14556.36,14745.19,历史原始实测能耗,-2671.78,real,class2,class2,30,30,strong,real_only,218.7,UP066_20240715_171505_R3551,64.0,3572.0
兴海南路-梅堰,class3,82.0,28.56,30.0,-1.44,82.2,11257.15,13384.98,13158.88,历史原始实测能耗,2127.83,real,class3,class3,73,73,strong,real_only,217.32,UP066_20240715_171505_R3551,64.0,3573.0
梅堰-永茂路,class3,313.0,25.7,27.0,-1.3,316.85,30913.12,29820.08,30138.63,历史原始实测能耗,-1093.04,real,class3,class3,20,20,strong,real_only,217.12,UP066_20240715_171505_R3551,50.0,3574.0
永茂路-镇海大道,class2,141.0,25.7,27.0,-1.3,142.55,18559.33,17812.2,18229.24,历史原始实测能耗,-747.13,real,class2,class2,59,59,strong,real_only,216.52,UP066_20240715_171505_R3551,64.0,3575.0
镇海大道-骆驼桥,class2,116.0,0.0,0.0,0.0,117.7,20097.51,20419.94,19942.09,历史原始实测能耗,322.43,real,class2,class2,101,101,strong,real_only,215.74,UP066_20240715_171505_R3551,64.0,3576.0
--- 总计 ---,节能率: 8.68%,3003.1,735.8000000000001,773.0,-37.2,3738.9,408775.37,447645.24,437956.98,历史原始实测能耗,38869.87,,,,,,,real_only,,,,
