section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,cruise_min_speed_ratio,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,95,96,07/2672695,1,2379,mps,43.93,63.68,1118,0.92,65.57,65.31,64.15,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
2,张家潭-同德路,95,96,07/2672695,1,3037,mps,48.68,63.62,1815,0.92,64.74,64.69,64.6,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
3,同德路-石碶,95,96,07/2672695,1,2182,mps,44.63,67.45,878,0.92,68.71,68.54,67.93,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
4,石碶-雅渡,95,96,07/2672695,1,1681,mps,36.03,68.89,150,0.92,71.07,70.98,68.71,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
5,雅渡-庙堰,95,96,07/2672695,1,2663,mps,51.1,73.44,1228,0.92,76.16,75.94,73.8,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
6,庙堰-钟公庙,95,96,07/2672695,1,1913,mps,41.55,68.8,587,0.92,71.29,71.11,69.15,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
7,钟公庙-鄞州区政府,95,96,07/2672695,1,1839,mps,39.15,62.71,623,0.92,64.44,64.25,63.14,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
8,鄞州区政府-钱湖南路,95,96,07/2672695,1,2675,mps,49.52,69.52,1334,0.92,71.53,70.98,69.96,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx,
9,钱湖南路-南高教园区,95,96,07/2672695,1,2017,mps,42.39,67.44,674,0.92,70.29,69.87,68.15,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx,
10,南高教园区-下应路,95,96,07/2772795,0,2226,mps,47.68,77.78,707,0.92,78.42,78.37,78.33,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx,
11,下应路-大洋江,95,96,07/2772795,0,2097,mps,42.35,67.05,775,0.92,67.68,67.61,67.5,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx,
12,大洋江-泗港,95,96,07/2772795,0,1835,mps,38.17,61.34,609,0.92,63.28,63.12,61.94,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx,
13,泗港-曹隘,95,96,07/2672695,1,2693,mps,48.87,78.14,833,0.92,78.98,78.77,78.66,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx,
14,曹隘-柳隘,95,96,07/2672695,1,2134,mps,44.81,74.43,500,0.92,75.93,75.87,75.71,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_曹隘-柳隘.xlsx,
15,柳隘-海晏北路,95,96,07/2672695,1,1854,mps,38.69,63.98,599,0.92,65.41,65.26,64.67,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_柳隘-海晏北路.xlsx,
16,海晏北路-民安东路,95,96,07/2672695,1,1680,mps,37.66,72.49,218,0.92,74.31,74.25,73.85,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_海晏北路-民安东路.xlsx,
17,民安东路-会展中心,95,96,07/2772795,0,1543,mps,34.36,67.36,209,0.92,68.76,68.72,68.27,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_民安东路-会展中心.xlsx,
18,会展中心-院士路,95,96,07/2772795,0,2301,mps,49.31,77.64,833,0.92,78.38,78.32,78.24,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_会展中心-院士路.xlsx,
19,院士路-盎孟港,95,96,07/2772795,0,1815,mps,40.09,76.65,243,0.92,78.48,78.37,78.26,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_院士路-盎孟港.xlsx,
20,盎孟港-三官堂,95,96,07/2772795,0,2633,mps,52.14,76.94,1166,0.92,77.79,77.57,77.29,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_盎孟港-三官堂.xlsx,
21,三官堂-兴庄路,95,96,07/2772795,0,2093,mps,37.75,53.58,979,0.92,54.15,54.05,53.94,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_三官堂-兴庄路.xlsx,
22,兴庄路-兴海南路,95,96,07/2772795,0,1813,mps,38.67,63.4,548,0.92,65.77,65.72,64.41,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_兴庄路-兴海南路.xlsx,
25,永茂路-镇海大道,95,96,07/2772795,0,2852,mps,54.66,77.89,1333,0.92,78.4,78.3,78.23,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_永茂路-镇海大道.xlsx,
26,镇海大道-骆驼桥,95,96,07/2772795,0,2342,mps,49.85,77.94,869,0.92,78.42,78.39,78.36,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_镇海大道-骆驼桥.xlsx,
