站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,28.53,30.0,-1.47,118.95,12947.95,14175.86,14117.61,历史原始实测能耗,1227.91,real,class3,class3,80,80,strong,real_only,215.24,UP040_20240706_192930_R2142,39.0,2142.0
张家潭-同德路,class2,148.0,27.6,29.0,-1.4,149.3,17396.37,17501.4,17019.25,历史原始实测能耗,105.03,real,class2,class2,8,8,strong,real_only,215.24,UP040_20240706_192930_R2142,39.0,2143.0
同德路-石碶,class3,109.0,32.36,34.0,-1.64,111.4,12861.48,13742.63,13037.38,历史原始实测能耗,881.15,real,class3,class3,60,60,strong,real_only,215.24,UP040_20240706_192930_R2142,39.0,2144.0
石碶-雅渡,class2,80.0,27.6,29.0,-1.4,81.4,11034.59,12973.07,12679.46,历史原始实测能耗,1938.48,real,class2,class2,38,38,strong,real_only,215.34,UP040_20240706_192930_R2142,39.0,2145.0
雅渡-庙堰,class4,139.0,28.56,30.0,-1.44,131.35,18531.24,21666.81,21105.55,历史原始实测能耗,3135.57,real,class4,class4,10,10,strong,real_only,215.54,UP040_20240706_192930_R2142,39.0,2146.0
庙堰-钟公庙,class3,96.0,28.56,30.0,-1.44,96.15,12582.42,13820.86,13741.05,历史原始实测能耗,1238.44,real,class3,class3,84,84,strong,real_only,215.64,UP040_20240706_192930_R2142,39.0,2147.0
钟公庙-鄞州区政府,class4,95.0,38.07,40.0,-1.93,89.5,7679.27,12963.92,12478.19,历史原始实测能耗,5284.65,real,class4,class4,1,1,weak,real_only,215.34,UP040_20240706_192930_R2142,39.0,2148.0
鄞州区政府-钱湖南路,class3,132.1,29.51,31.0,-1.49,131.95,16088.87,16333.63,15739.28,历史原始实测能耗,244.76,real,class3,class3,62,62,strong,real_only,215.84,UP040_20240706_192930_R2142,39.0,2149.0
钱湖南路-南高教园区,class3,100.0,34.27,36.0,-1.73,98.7,13853.31,14333.68,14364.62,历史原始实测能耗,480.37,real,class3,class3,63,63,strong,real_only,215.64,UP040_20240706_192930_R2142,39.0,2150.0
南高教园区-下应路,class3,114.0,28.56,30.0,-1.44,113.6,19038.15,19853.07,19913.55,历史原始实测能耗,814.92,real,class3,class3,63,63,strong,real_only,215.64,UP040_20240706_192930_R2142,39.0,2151.0
下应路-大洋江,class3,106.0,28.56,30.0,-1.44,106.1,11097.47,12766.4,12136.57,历史原始实测能耗,1668.93,real,class3,class3,65,65,strong,real_only,215.94,UP040_20240706_192930_R2142,39.0,2152.0
大洋江-泗港,class3,92.0,27.6,29.0,-1.4,91.7,10581.11,11751.15,11363.13,历史原始实测能耗,1170.04,real,class3,class3,99,99,strong,real_only,215.74,UP040_20240706_192930_R2142,39.0,2153.0
泗港-曹隘,class4,137.0,28.56,30.0,-1.44,135.4,24111.8,22978.37,24118.05,历史原始实测能耗,-1133.43,real,class4,class4,82,82,strong,real_only,215.54,UP040_20240706_192930_R2142,39.0,2154.0
曹隘-柳隘,class4,113.0,28.56,30.0,-1.44,107.2,12091.41,20763.77,16683.3,历史原始实测能耗,8672.36,real,class4,class4,1,1,weak,real_only,215.54,UP040_20240706_192930_R2142,39.0,2155.0
柳隘-海晏北路,class3,92.0,42.83,45.0,-2.17,89.4,11444.4,13995.44,14156.57,历史原始实测能耗,2551.04,real,class3,class3,35,35,strong,real_only,215.74,UP040_20240706_192930_R2142,39.0,2156.0
海晏北路-民安东路,class3,85.0,27.6,29.0,-1.4,84.0,13963.73,15624.4,14117.9,历史原始实测能耗,1660.67,real,class3,class3,41,41,strong,real_only,217.52,UP040_20240706_192930_R2142,39.0,2157.0
