station_pair,status,message,target_l_m,class3_time_median_s,class3_target_time_s,class3_peak_speed_ref_kmh,n_runs_class3,output_dir
布政-张家潭,success,训练完成,1450.9846,114.55,115.0,66.5645,18,D:\energy_conservation\output\ato_phase_results\布政-张家潭
张家潭-同德路,success,训练完成,2053.6237,148.95,151.0,64.8528,22,D:\energy_conservation\output\ato_phase_results\张家潭-同德路
同德路-石碶,success,训练完成,1351.878,108.2,109.0,66.8086,13,D:\energy_conservation\output\ato_phase_results\同德路-石碶
石碶-雅渡,success,训练完成,840.2422,79.15,82.0,72.9332,23,D:\energy_conservation\output\ato_phase_results\石碶-雅渡
雅渡-庙堰,success,训练完成,1889.6036,129.5,132.0,76.1352,13,D:\energy_conservation\output\ato_phase_results\雅渡-庙堰
庙堰-钟公庙,success,训练完成,1103.8122,93.45,96.0,71.3865,13,D:\energy_conservation\output\ato_phase_results\庙堰-钟公庙
钟公庙-鄞州区政府,success,训练完成,999.3788,88.2,90.0,68.4158,17,D:\energy_conservation\output\ato_phase_results\钟公庙-鄞州区政府
鄞州区政府-钱湖南路,success,训练完成,1839.6652,129.5,132.0,72.6247,13,D:\energy_conservation\output\ato_phase_results\鄞州区政府-钱湖南路
钱湖南路-南高教园区,success,训练完成,1187.1144,98.15,100.0,70.2547,13,D:\energy_conservation\output\ato_phase_results\钱湖南路-南高教园区
南高教园区-下应路,success,训练完成,1474.0475,112.45,114.0,70.7646,12,D:\energy_conservation\output\ato_phase_results\南高教园区-下应路
下应路-大洋江,success,训练完成,1232.9055,103.25,106.0,64.5444,13,D:\energy_conservation\output\ato_phase_results\下应路-大洋江
大洋江-泗港,success,训练完成,972.801,88.75,92.0,64.9645,23,D:\energy_conservation\output\ato_phase_results\大洋江-泗港
泗港-曹隘,success,训练完成,1826.5729,132.35,130.0,79.1138,13,D:\energy_conservation\output\ato_phase_results\泗港-曹隘
曹隘-柳隘,success,训练完成,1327.7329,104.1,108.0,76.3303,13,D:\energy_conservation\output\ato_phase_results\曹隘-柳隘
柳隘-海晏北路,success,训练完成,995.9169,88.0,92.0,67.5119,13,D:\energy_conservation\output\ato_phase_results\柳隘-海晏北路
海晏北路-民安东路,success,训练完成,878.0623,81.4,85.0,73.9809,13,D:\energy_conservation\output\ato_phase_results\海晏北路-民安东路
民安东路-会展中心,success,训练完成,736.4956,74.5,79.0,68.648,13,D:\energy_conservation\output\ato_phase_results\民安东路-会展中心
会展中心-院士路,success,训练完成,1576.5772,112.7,115.0,78.5743,12,D:\energy_conservation\output\ato_phase_results\会展中心-院士路
院士路-盎孟港,success,训练完成,1010.0276,87.85,91.0,78.8932,12,D:\energy_conservation\output\ato_phase_results\院士路-盎孟港
盎孟港-三官堂,success,训练完成,1906.5461,136.85,139.0,69.3355,13,D:\energy_conservation\output\ato_phase_results\盎孟港-三官堂
三官堂-兴庄路,success,训练完成,1097.6719,100.55,104.0,55.7562,23,D:\energy_conservation\output\ato_phase_results\三官堂-兴庄路
兴庄路-兴海南路,success,训练完成,973.4808,88.8,91.0,62.7685,23,D:\energy_conservation\output\ato_phase_results\兴庄路-兴海南路
兴海南路-梅堰,success,训练完成,846.3193,79.75,82.0,73.462,13,D:\energy_conservation\output\ato_phase_results\兴海南路-梅堰
梅堰-永茂路,success,训练完成,3733.6219,327.55,313.0,57.3546,13,D:\energy_conservation\output\ato_phase_results\梅堰-永茂路
永茂路-镇海大道,success,训练完成,2164.3679,139.85,148.0,78.8051,13,D:\energy_conservation\output\ato_phase_results\永茂路-镇海大道
镇海大道-骆驼桥,success,训练完成,1620.6681,114.5,122.0,78.8979,27,D:\energy_conservation\output\ato_phase_results\镇海大道-骆驼桥
