站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,27.62,29.0,-1.38,117.8,12947.95,14472.39,14671.24,历史原始实测能耗,1524.44,real,class3,class3,80,80,strong,real_only,215.24,UP057_20240710_070757_R3070,56.0,3070.0
张家潭-同德路,class2,148.0,27.56,29.0,-1.44,150.6,17497.75,18074.36,17864.2,历史原始实测能耗,576.61,real,class2,class2,8,8,strong,real_only,215.34,UP057_20240710_070757_R3070,56.0,3071.0
同德路-石碶,class3,109.0,33.27,35.0,-1.73,105.6,12898.41,14443.45,14453.92,历史原始实测能耗,1545.04,real,class3,class3,60,60,strong,real_only,215.34,UP057_20240710_070757_R3070,56.0,3072.0
石碶-雅渡,class2,80.0,28.51,30.0,-1.49,78.45,11137.34,12328.16,12087.6,历史原始实测能耗,1190.82,real,class2,class2,38,38,strong,real_only,216.04,UP057_20240710_070757_R3070,56.0,3073.0
雅渡-庙堰,class3,131.9,27.56,29.0,-1.44,131.85,20002.74,20681.87,20663.4,历史原始实测能耗,679.13,real,class3,class3,67,67,strong,real_only,216.94,UP057_20240710_070757_R3070,56.0,3074.0
庙堰-钟公庙,class3,96.0,29.46,31.0,-1.54,94.6,12878.83,16227.42,16257.31,历史原始实测能耗,3348.59,real,class3,class3,84,84,strong,real_only,217.72,UP057_20240710_070757_R3070,56.0,3075.0
钟公庙-鄞州区政府,class4,95.0,37.07,39.0,-1.93,89.1,7881.17,13289.75,13147.54,历史原始实测能耗,5408.58,real,class4,class4,1,1,weak,real_only,219.4,UP057_20240710_070757_R3070,56.0,3076.0
鄞州区政府-钱湖南路,class3,132.1,27.56,29.0,-1.44,128.95,16889.41,19537.25,19741.52,历史原始实测能耗,2647.84,real,class3,class3,62,62,strong,real_only,221.8,UP057_20240710_070757_R3070,56.0,3077.0
钱湖南路-南高教园区,class3,100.0,32.32,34.0,-1.68,96.6,14647.82,16330.32,17138.69,历史原始实测能耗,1682.5,real,class3,class3,63,63,strong,real_only,222.5,UP057_20240710_070757_R3070,56.0,3078.0
南高教园区-下应路,class3,114.0,28.51,30.0,-1.49,110.65,19785.31,20472.25,21341.92,历史原始实测能耗,686.94,real,class3,class3,63,63,strong,real_only,222.9,UP057_20240710_070757_R3070,56.0,3079.0
下应路-大洋江,class3,106.0,27.56,29.0,-1.44,101.2,11890.98,14456.66,14428.99,历史原始实测能耗,2565.68,real,class3,class3,65,65,strong,real_only,223.5,UP057_20240710_070757_R3070,56.0,3080.0
大洋江-泗港,class3,92.0,27.56,29.0,-1.44,91.95,11010.23,12498.07,12441.53,历史原始实测能耗,1487.84,real,class3,class3,99,99,strong,real_only,223.2,UP057_20240710_070757_R3070,56.0,3081.0
泗港-曹隘,class4,137.0,28.51,30.0,-1.49,134.75,25166.38,23567.49,24931.33,历史原始实测能耗,-1598.89,real,class4,class4,82,82,strong,real_only,222.9,UP057_20240710_070757_R3070,56.0,3082.0
曹隘-柳隘,class4,113.0,27.56,29.0,-1.44,106.55,12866.42,21792.05,18195.49,历史原始实测能耗,8925.63,real,class4,class4,1,1,weak,real_only,224.6,UP057_20240710_070757_R3070,56.0,3083.0
柳隘-海晏北路,class3,92.0,42.77,45.0,-2.23,88.95,12062.96,15247.84,15630.45,历史原始实测能耗,3184.88,real,class3,class3,35,35,strong,real_only,225.5,UP057_20240710_070757_R3070,56.0,3084.0
