站间区间,趟次,segment,日期+服务号,服务号,车底号,方向,时段,开始时刻(s),结束时刻(s),历史运行时间(s),历史停站时间(s),历史累计用时含停站(s),区间距离(m),站间距(m),平均速度(km/h),最高速度(km/h),速度点平均(km/h),速度采样点数,巡航平均速度(km/h),巡航点数,P95速度(km/h),P99速度(km/h),历史实测能耗(Wh),平均重量(t),运行等级,是否晚上八点后,曲线质量标签,源文件
布政-张家潭,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,116.9,116.9,30.0,146.9,1451.02,1428.0,44.69,66.83,44.67,2339,64.79,1061,65.31,66.6,14023.36,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx
张家潭-同德路,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,151.1,151.1,30.0,181.1,2053.34,2017.0,48.92,66.54,48.91,3023,64.47,1774,65.38,66.27,18642.76,215.24,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx
同德路-石碶,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,105.85,105.85,30.0,135.85,1351.8,1332.0,45.98,77.99,45.95,2118,74.89,670,75.68,77.83,15987.9,215.24,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx
石碶-雅渡,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,78.6,78.6,30.0,108.6,840.67,827.0,38.5,76.29,38.48,1573,73.45,245,73.98,76.19,12899.81,215.44,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx
雅渡-庙堰,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,132.85,132.85,30.0,162.85,1889.7,1860.0,51.21,73.55,51.19,2658,72.2,1305,72.8,73.41,19916.74,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx
庙堰-钟公庙,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,94.25,94.25,30.0,124.25,1105.01,1086.0,42.21,78.16,42.18,1886,74.38,432,75.16,78.01,15426.94,215.54,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx
钟公庙-鄞州区政府,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,89.15,89.15,30.0,119.15,999.04,984.0,40.34,78.9,40.32,1784,75.5,250,76.38,78.8,13993.45,215.44,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx
鄞州区政府-钱湖南路,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,127.8,127.8,30.0,157.8,1838.47,1811.0,51.79,78.08,51.77,2557,76.64,1092,77.36,77.88,17695.37,215.54,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx
钱湖南路-南高教园区,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,96.7,96.7,30.0,126.7,1187.3,1155.0,44.2,78.91,44.18,1935,77.76,489,78.53,78.86,15605.6,215.74,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx
南高教园区-下应路,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,110.5,110.5,30.0,140.5,1474.15,1452.0,48.03,78.93,48.0,2211,78.36,716,78.86,78.89,21036.46,215.64,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx
下应路-大洋江,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,101.8,101.8,30.0,131.8,1232.59,1214.0,43.59,73.23,43.57,2037,72.47,635,73.0,73.13,14207.66,215.74,2,0,0,data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx
大洋江-泗港,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,91.35,91.35,30.0,121.35,972.69,957.0,38.33,63.76,38.31,1828,61.37,629,62.13,63.55,11676.36,215.54,3,0,0,data\data_processed_step2_v3_all_curve_quality\results_大洋江-泗港.xlsx
泗港-曹隘,49,48,07/0970948,70948,5012,UP,工作日低峰,0.0,134.6,134.6,30.0,164.6,1826.41,1798.0,48.85,79.07,48.83,2693,78.02,958,78.71,78.87,22756.5,215.64,4,0,0,data\data_processed_step2_v3_all_curve_quality\results_泗港-曹隘.xlsx
