t_arrival,v_peak_opt,E_wh
86.7,22.200000000000017,17096.425332742387
86.75,22.000000000000014,16995.507869769386
86.85000000000001,21.800000000000015,16900.76468541393
87.0,21.400000000000013,16682.539818224213
87.10000000000001,21.200000000000014,16568.674333528936
87.25,21.000000000000014,16457.77703542295
87.35000000000001,20.800000000000015,16330.37349488796
87.5,20.600000000000016,16213.96988275316
87.60000000000001,20.400000000000013,16089.11582189725
87.75,20.200000000000014,15973.593375457209
87.9,20.000000000000014,15857.02358064558
88.05000000000001,19.80000000000001,15743.160330676757
88.25,19.600000000000012,15655.922521675911
88.45,19.400000000000013,15581.61215597266
88.60000000000001,19.200000000000014,15494.834321070572
88.80000000000001,19.000000000000014,15415.364488539348
89.05000000000001,18.80000000000001,15349.640014579669
89.25,18.600000000000012,15269.398206170667
89.5,18.400000000000013,15199.969956324714
89.75,18.20000000000001,15130.434118069968
90.0,18.00000000000001,15059.672873226567
90.30000000000001,17.80000000000001,14994.005573626135
90.60000000000001,17.600000000000012,14928.765187325247
90.9,17.400000000000013,14855.72289012235
91.2,17.20000000000001,14785.589507342043
91.55000000000001,17.00000000000001,14712.05716959797
91.9,16.80000000000001,14634.946684769815
92.25,16.60000000000001,14549.418167278913
92.65,16.40000000000001,14464.160346470517
93.05000000000001,16.20000000000001,14370.073014794585
93.5,16.00000000000001,14255.64727788759
93.9,15.80000000000001,14122.530569139111
94.4,15.600000000000009,13992.320211817714
94.85000000000001,15.40000000000001,13827.074662479648
95.35000000000001,15.20000000000001,13680.579575279278
95.9,15.000000000000009,13526.058309719981
96.4,14.800000000000008,13373.214704138545
97.0,14.600000000000009,13220.656829390382
97.60000000000001,14.40000000000001,13052.609493508731
98.2,14.200000000000008,12867.571849962565
98.85000000000001,14.000000000000007,12665.574243590803
99.5,13.800000000000008,12454.769386433098
