Segment_ID,等级,时长
0,class2,104.35
1,class2,104.15
2,class2,104.25
3,class2,104.1
4,class2,104.5
5,class2,104.25
6,class2,104.25
7,class2,104.2
8,class2,104.3
9,class2,104.2
10,class2,103.95
11,class2,103.95
12,class2,104.05
13,class2,104.1
14,class1,101.15
15,class2,104.05
16,class2,104.4
17,class2,104.75
18,class4,110.6
19,class2,104.05
20,class2,104.35
21,class2,104.25
22,class2,104.25
23,class2,104.05
24,class2,104.1
25,class2,104.05
26,class2,105.55
27,class2,104.55
28,class2,104.75
29,class2,104.6
30,class2,104.55
31,class2,104.4
32,class2,104.9
33,class2,104.55
34,class3,107.65
