t_arrival,v_peak_opt,E_wh
105.95,13.879999999999942,8479.114230182266
105.7,13.93999999999994,8532.237363126505
105.5,13.999999999999941,8598.936403229889
105.25,14.059999999999942,8650.947792771181
105.05000000000001,14.11999999999994,8722.78360518949
104.80000000000001,14.17999999999994,8775.902704596048
104.60000000000001,14.23999999999994,8853.014405172618
104.4,14.29999999999994,8909.963815290224
104.2,14.359999999999939,8983.553247346623
103.95,14.419999999999938,9043.93647471422
103.75,14.479999999999938,9112.71665059947
103.55000000000001,14.539999999999939,9180.526474470273
103.35000000000001,14.599999999999937,9251.262359743685
103.15,14.659999999999936,9313.013966867926
102.95,14.719999999999937,9385.488446953324
102.75,14.779999999999937,9444.789979018406
102.60000000000001,14.839999999999936,9516.136871493607
102.4,14.899999999999935,9571.539062772128
102.2,14.959999999999935,9638.757479838187
102.0,15.019999999999936,9687.221281315607
101.85000000000001,15.079999999999934,9760.131012406737
101.65,15.139999999999933,9812.595443574737
101.45,15.199999999999934,9877.18007637568
101.30000000000001,15.259999999999934,9934.088220820891
101.10000000000001,15.319999999999933,9998.47566239077
100.95,15.379999999999932,10049.124310320178
100.80000000000001,15.439999999999932,10108.149889339214
100.60000000000001,15.499999999999932,10156.111659327591
100.45,15.559999999999931,10219.014482863175
100.30000000000001,15.61999999999993,10258.558265785034
100.10000000000001,15.67999999999993,10315.047903040853
99.95,15.739999999999931,10365.498507719849
99.80000000000001,15.79999999999993,10420.43633167679
99.65,15.859999999999928,10467.054083832922
99.5,15.919999999999929,10520.166697745322
99.35000000000001,15.97999999999993,10566.681227207768
99.2,16.039999999999928,10609.701481382459
99.05000000000001,16.099999999999927,10653.87754285623
98.9,16.159999999999926,10709.106340103008
98.75,16.219999999999928,10745.930073156189
98.60000000000001,16.279999999999927,10798.229511730056
98.45,16.339999999999925,10838.529172343275
98.35000000000001,16.399999999999928,10882.003000976372
98.2,16.459999999999926,10907.189903648934
98.05000000000001,16.519999999999925,10955.852137659236
97.9,16.579999999999924,10985.044301332886
97.80000000000001,16.639999999999922,11033.157684517388
97.65,16.699999999999925,11066.491723161067
97.55000000000001,16.759999999999923,11104.09399601859
97.4,16.819999999999922,11136.344726916555
97.25,16.879999999999924,11173.65921447219
97.15,16.939999999999923,11209.074882751798
97.0,16.999999999999922,11247.747460709405
96.9,17.05999999999992,11294.106383379127
96.80000000000001,17.11999999999992,11334.799264645935
96.65,17.17999999999992,11372.077843967363
96.55000000000001,17.23999999999992,11414.485737598685
96.45,17.29999999999992,11453.21640402464
96.30000000000001,17.35999999999992,11485.847090665848
96.2,17.41999999999992,11499.34023563924
96.10000000000001,17.47999999999992,11549.019457880775
96.0,17.539999999999917,11562.980282268349
95.9,17.599999999999916,11602.144356968865
95.75,17.65999999999992,11625.52021562
95.65,17.719999999999917,11655.356196813085
95.55000000000001,17.779999999999916,11676.67243555238
95.45,17.839999999999918,11722.498811671103
95.35000000000001,17.899999999999917,11733.244298923215
95.25,17.959999999999916,11767.953092559148
95.15,18.019999999999914,11778.46866059338
95.05000000000001,18.079999999999913,11819.665245181237
94.95,18.139999999999915,11836.05933712721
94.85000000000001,18.199999999999914,11858.534061540713
94.75,18.259999999999913,11874.723462326789
94.7,18.319999999999915,11907.413269757255
94.60000000000001,18.379999999999914,11936.464342706251
94.5,18.439999999999912,11960.588954403695
94.4,18.49999999999991,11980.528849828792
94.30000000000001,18.55999999999991,12012.851875536646
94.25,18.619999999999912,12030.421632261829
94.15,18.67999999999991,12063.141127908759
94.05000000000001,18.73999999999991,12078.69269056814
94.0,18.799999999999912,12108.936854439278
93.9,18.85999999999991,12133.835731226849
93.80000000000001,18.91999999999991,12162.386854352579
93.75,18.979999999999908,12176.699078095276
93.65,19.039999999999907,12203.573002520145
93.60000000000001,19.09999999999991,12215.691102861656
93.5,19.159999999999908,12244.00936350762
93.45,19.219999999999906,12257.360285336401
93.35000000000001,19.27999999999991,12284.905851305433
93.30000000000001,19.339999999999907,12299.853202312843
93.2,19.399999999999906,12325.802495180866
93.15,19.459999999999905,12348.365788411316
93.10000000000001,19.519999999999904,12374.276577958575
93.0,19.579999999999906,12386.500668242004
92.95,19.639999999999905,12412.789796062512
92.9,19.699999999999903,12426.010230913233
92.80000000000001,19.759999999999906,12451.339746993917
92.75,19.819999999999904,12463.881995957416
92.7,19.879999999999903,12487.042135263222
92.60000000000001,19.939999999999902,12508.097210850094
92.55000000000001,19.9999999999999,12530.017100626708
92.5,20.059999999999903,12550.202541083214
92.45,20.1199999999999,12569.090477851574
92.4,20.1799999999999,12564.031856172982
92.30000000000001,20.239999999999903,12595.272994690416
92.25,20.2999999999999,12601.71041024138
92.2,20.3599999999999,12630.2848289471
92.15,20.4199999999999,12632.959840047772
92.10000000000001,20.479999999999897,12659.182730713703
92.05000000000001,20.5399999999999,12647.859884589681
92.0,20.5999999999999,12673.721525971765
91.95,20.659999999999897,12675.904218494414
91.9,20.7199999999999,12703.308436857695
91.85000000000001,20.779999999999898,12707.900871273598
91.80000000000001,20.839999999999897,12722.546603763969
91.75,20.899999999999896,12739.628016832381
91.7,20.959999999999894,12755.775824216847
91.65,21.019999999999897,12761.46667443441
91.60000000000001,21.079999999999895,12791.014129169347
91.55000000000001,21.139999999999894,12812.16768434074
91.5,21.199999999999896,12817.58249776829
91.45,21.259999999999895,12840.284252566678
91.45,21.319999999999894,12876.88094348627
91.4,21.379999999999892,12876.587134340818
91.35000000000001,21.43999999999989,12915.279954648176
91.30000000000001,21.499999999999893,12945.400126055003
91.25,21.559999999999892,12971.470633071292
91.2,21.61999999999989,13004.933796651658
91.2,21.679999999999893,13047.839103848424
91.15,21.739999999999892,13066.643471147845
91.10000000000001,21.79999999999989,13094.602277381287
91.10000000000001,21.85999999999989,13128.624433986304
91.05000000000001,21.919999999999888,13159.268632730513
91.0,21.97999999999989,13192.920478095224
90.95,22.03999999999989,13233.32235912742
90.95,22.099999999999888,13248.349750373554
90.9,22.15999999999989,13282.764785948899
90.9,22.21999999999989,13316.53641923916
90.85000000000001,22.279999999999887,13360.955288115561
