run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850706|50706|5012|UP,81.5,878.2164,216.54,1631
07/0850708|50708|5012|UP,81.35,877.9648,216.64,1628
07/0850710|50710|5012|UP,81.6,878.4252,215.92,1633
07/0951906|51906|5012|UP,81.4,878.0623,216.24,1629
07/0951908|51908|5012|UP,81.25,878.1838,217.62,1626
07/0951910|51910|5012|UP,81.4,877.7019,215.94,1629
07/0951914|51914|5012|UP,81.35,878.5726,219.32,1628
07/1053004|53004|5012|UP,81.75,878.2369,217.04,1636
07/1251002|51002|5012|UP,81.35,877.6915,215.94,1628
07/1251006|51006|5012|UP,81.35,877.9773,216.54,1628
07/1251008|51008|5012|UP,81.4,877.9156,219.72,1629
07/1251014|51014|5012|UP,81.55,878.3526,218.04,1632
07/1251510|51510|5012|UP,81.55,878.0065,216.64,1632
